meetpunt;datum;naam;waarde
S_0674;2022-05-02;Gyraulus albus;34
S_0674;2022-05-02;Haliplus ruficollis;1
S_0674;2022-05-02;Helophorus grandis;1
S_0674;2022-05-02;Hippeutis complanatus;1
S_0674;2022-05-02;Hydrodroma pilosa;1
S_0674;2022-05-02;Hyphydrus ovatus;1
S_0674;2022-05-02;Ilyocoris cimicoides;1
S_0674;2022-05-02;Ilyodrilus templetoni;2
S_0674;2022-05-02;Ischnura elegans;3
S_0674;2022-05-02;Laccophilus minutus;1
S_0674;2022-05-02;Limnephilus lunatus;1
S_0674;2022-05-02;Limnesia fulgida;4
S_0674;2022-05-02;Musculium lacustre;11
S_0674;2022-05-02;Neumania vernalis;1
S_0674;2022-05-02;Noterus crassicornis;7
S_0674;2022-05-02;Notonecta glauca;1
S_0674;2022-05-02;Paramerina cingulata;3
S_0674;2022-05-02;Phaenopsectra flavipes;4
S_0674;2022-05-02;Pisidium milium;11
S_0674;2022-05-02;Pisidium nitidum;18
S_0674;2022-05-02;Pisidium subtruncatum;12
S_0674;2022-05-02;Plea minutissima;5
S_0674;2022-05-02;Polypedilum arundineti;1
S_0674;2022-05-02;Polypedilum cultellatum;4
S_0674;2022-05-02;Potamothrix bedoti;1
S_0674;2022-05-02;Psectrotanypus varius;8
S_0674;2022-05-02;Sialis lutaria;5
S_0674;2022-05-02;Sigara striata;3
S_0674;2022-05-02;Stylaria lacustris;1
S_0674;2022-05-02;Theromyzon tessulatum;1
S_0674;2022-05-02;Triaenodes bicolor;60
